long 16.98136 lat 46.45775 viewpoint 0 degrees.jpeg,Cloud 96,Plant 93,Ecoregion 93,Sky 92,Nature 90,Natural environment 89,Natural landscape 88,Vegetation 85,Land lot 85,Tree 85
long 16.983119675 lat 46.4575582 viewpoint 270 degrees.jpeg,Cloud 97,Photograph 94,Sky 94,Infrastructure 89,Asphalt 88,Road surface 86,Tree 85,Plant 84,Screenshot 84,Line 83
long 16.983119675 lat 46.4575582 viewpoint 90 degrees.jpeg,Cloud 97,Sky 90,Infrastructure 90,Asphalt 89,Road surface 88,Screenshot 83,Font 81,Urban design 81,Road 79,Window 78
long 16.98312096 lat 46.45778504 viewpoint 0 degrees.jpeg,Cloud 97,Sky 92,Plant 87,Land lot 86,Tree 85,Building 83,Screenshot 81,Grass 80,Font 75,Software 74
long 16.98312096 lat 46.45778504 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.98312096 lat 46.45778504 viewpoint 270 degrees.jpeg,Photograph 94,Cloud 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Screenshot 84,Road surface 83,Font 82,Line 82
long 16.98312096 lat 46.45778504 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.983123425 lat 46.457445475 viewpoint 0 degrees.jpeg,Cloud 92,Building 90,Biome 83,Screenshot 82,Urban design 81,Grass 80,Font 76,Facade 75,Plant 74,Sky 72
long 16.983123425 lat 46.457445475 viewpoint 180 degrees.jpeg,Cloud 96,Car 96,Wheel 95,Plant 95,Tire 94,Sky 93,Vehicle 90,Motor vehicle 90,Infrastructure 89,Tree 89
long 16.983123425 lat 46.457445475 viewpoint 270 degrees.jpeg,Cloud 97,Photograph 94,Sky 94,Infrastructure 89,Asphalt 88,Road surface 86,Tree 85,Plant 84,Screenshot 84,Line 83
long 16.983123425 lat 46.457445475 viewpoint 90 degrees.jpeg,Cloud 97,Sky 90,Infrastructure 90,Asphalt 89,Road surface 88,Screenshot 83,Font 81,Urban design 81,Road 79,Window 78
long 16.9831256 lat 46.4575872571429 viewpoint 0 degrees.jpeg,Cloud 92,Building 90,Biome 83,Screenshot 82,Urban design 81,Grass 80,Font 76,Facade 75,Plant 74,Sky 72
long 16.9831256 lat 46.4575872571429 viewpoint 180 degrees.jpeg,Cloud 96,Car 96,Wheel 95,Plant 95,Tire 94,Sky 93,Vehicle 90,Motor vehicle 90,Infrastructure 89,Tree 89
long 16.9831256 lat 46.4575872571429 viewpoint 270 degrees.jpeg,Cloud 97,Photograph 94,Sky 94,Infrastructure 89,Asphalt 88,Road surface 86,Plant 85,Tree 85,Screenshot 84,Line 83
long 16.9831256 lat 46.4575872571429 viewpoint 90 degrees.jpeg,Cloud 97,Sky 90,Infrastructure 90,Asphalt 89,Road surface 88,Screenshot 83,Font 81,Urban design 81,Road 79,Window 78
long 16.9831335 lat 46.457626 viewpoint 0 degrees.jpeg,Property 94,Plant 89,Biome 83,Building 83,Screenshot 83,Urban design 82,Asphalt 79,Facade 75,Software 73,Composite material 71
long 16.9831335 lat 46.457626 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Wheel 95,Car 95,Vehicle 92,Infrastructure 90,Tire 90,Asphalt 89,Mode of transport 86,Tree 85
long 16.9831335 lat 46.457626 viewpoint 270 degrees.jpeg,Cloud 97,Sky 93,Plant 92,Infrastructure 90,Road surface 90,Asphalt 89,Tree 86,Mode of transport 85,Urban design 84,Screenshot 84
long 16.9831335 lat 46.457626 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Infrastructure 90,Car 90,Asphalt 88,Road surface 88,Vehicle 88,Mode of transport 84,Font 83,Urban design 83
long 16.9831378571429 lat 46.457672 viewpoint 0 degrees.jpeg,Property 94,Plant 89,Biome 83,Building 83,Screenshot 83,Urban design 82,Asphalt 79,Facade 75,Software 73,Composite material 71
long 16.9831378571429 lat 46.457672 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Wheel 95,Car 95,Vehicle 92,Infrastructure 90,Tire 90,Asphalt 89,Mode of transport 86,Tree 85
long 16.9831378571429 lat 46.457672 viewpoint 270 degrees.jpeg,Cloud 97,Sky 93,Plant 92,Infrastructure 90,Road surface 90,Asphalt 89,Tree 86,Mode of transport 85,Urban design 84,Screenshot 84
long 16.9831378571429 lat 46.457672 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Car 91,Infrastructure 90,Asphalt 88,Road surface 88,Vehicle 88,Font 83,Urban design 83,Screenshot 82
long 16.9831618888889 lat 46.4579078888889 viewpoint 0 degrees.jpeg,Cloud 97,Sky 92,Plant 87,Land lot 86,Tree 85,Building 83,Screenshot 81,Grass 80,Font 75,Software 74
long 16.9831618888889 lat 46.4579078888889 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9831618888889 lat 46.4579078888889 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9831618888889 lat 46.4579078888889 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9831723428571 lat 46.4576196 viewpoint 0 degrees.jpeg,Property 94,Plant 89,Biome 83,Building 83,Screenshot 83,Urban design 82,Asphalt 79,Facade 75,Software 73,Composite material 71
long 16.9831723428571 lat 46.4576196 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Wheel 95,Car 95,Vehicle 92,Infrastructure 90,Tire 90,Asphalt 89,Mode of transport 86,Tree 85
long 16.9831723428571 lat 46.4576196 viewpoint 270 degrees.jpeg,Cloud 97,Sky 93,Plant 92,Infrastructure 90,Road surface 90,Asphalt 89,Tree 86,Mode of transport 85,Urban design 84,Screenshot 84
long 16.9831723428571 lat 46.4576196 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Infrastructure 90,Car 90,Asphalt 88,Road surface 88,Vehicle 88,Mode of transport 84,Font 83,Urban design 83
long 16.9831871 lat 46.457911525 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9831871 lat 46.457911525 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9831871 lat 46.457911525 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9831871 lat 46.457911525 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.98318835 lat 46.45787395 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.98318835 lat 46.45787395 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.98318835 lat 46.45787395 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.98318835 lat 46.45787395 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9831888 lat 46.4578972 viewpoint 0 degrees.jpeg,Cloud 97,Sky 92,Building 88,Land lot 86,Plant 86,Tree 84,Screenshot 81,Grass 80,Landscape 75,Font 75
long 16.9831888 lat 46.4578972 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9831888 lat 46.4578972 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9831888 lat 46.4578972 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9831959428571 lat 46.4575148 viewpoint 0 degrees.jpeg,Property 94,Plant 89,Biome 83,Building 83,Screenshot 83,Urban design 82,Asphalt 79,Facade 75,Software 73,Composite material 71
long 16.9831959428571 lat 46.4575148 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Wheel 95,Car 95,Vehicle 92,Infrastructure 90,Tire 90,Asphalt 89,Mode of transport 86,Tree 85
long 16.9831959428571 lat 46.4575148 viewpoint 270 degrees.jpeg,Cloud 97,Sky 93,Plant 92,Infrastructure 90,Road surface 90,Asphalt 89,Tree 86,Mode of transport 85,Urban design 84,Screenshot 84
long 16.9831959428571 lat 46.4575148 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Infrastructure 90,Car 90,Asphalt 88,Road surface 88,Vehicle 88,Mode of transport 84,Font 83,Urban design 83
long 16.9832087222222 lat 46.4578207777778 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9832087222222 lat 46.4578207777778 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9832087222222 lat 46.4578207777778 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9832087222222 lat 46.4578207777778 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9832124 lat 46.4577924 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9832124 lat 46.4577924 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9832124 lat 46.4577924 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9832124 lat 46.4577924 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 87,Screenshot 83,Font 82,Software 77,Road 71,Road surface 68,Urban design 68,Multimedia software 67
long 16.9832124888889 lat 46.4579016444444 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9832124888889 lat 46.4579016444444 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Display device 64,Games 61,Electric blue 56,Pc game 54
long 16.9832124888889 lat 46.4579016444444 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9832124888889 lat 46.4579016444444 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9832184 lat 46.4578503 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9832184 lat 46.4578503 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Display device 64,Games 61,Electric blue 56,Pc game 54
long 16.9832184 lat 46.4578503 viewpoint 270 degrees.jpeg,Cloud 94,Photograph 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Road surface 84,Screenshot 84,Font 82,Line 82
long 16.9832184 lat 46.4578503 viewpoint 90 degrees.jpeg,Cloud 95,Sky 90,Asphalt 86,Screenshot 83,Font 82,Line 82,Software 78,Road 71,Video game software 67,Urban design 67
long 16.9832316666667 lat 46.4577188888889 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 92,Land lot 86,Plant 86,Tree 83,Building 82,Screenshot 81,Grass 80,Font 75
long 16.9832316666667 lat 46.4577188888889 viewpoint 180 degrees.jpeg,Font 83,Screenshot 83,Software 80,Electronic device 74,Multimedia 71,Logo 64,Games 64,Display device 60,Electric blue 57,Pc game 54
long 16.9832316666667 lat 46.4577188888889 viewpoint 270 degrees.jpeg,Photograph 94,Cloud 94,Sky 94,Plant 89,Street light 87,Asphalt 86,Screenshot 84,Road surface 83,Font 82,Line 82
long 16.9832316666667 lat 46.4577188888889 viewpoint 90 degrees.jpeg,Cloud 97,Sky 90,Asphalt 87,Screenshot 83,Font 83,Line 82,Road surface 80,Software 76,Urban design 75,Road 71
long 16.983236 lat 46.4576876 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.983236 lat 46.4576876 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.983236 lat 46.4576876 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.983236 lat 46.4576876 viewpoint 90 degrees.jpeg,Cloud 98,Sky 93,Car 90,Infrastructure 89,Road surface 89,Asphalt 88,Vehicle 87,Motor vehicle 86,Mode of transport 85,Urban design 84
long 16.9832400571429 lat 46.4578433714286 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Land lot 86,Screenshot 82,Tree 80,Grass 80,Software 78,Urban design 77,Electronic device 76
long 16.9832400571429 lat 46.4578433714286 viewpoint 180 degrees.jpeg,Font 84,Screenshot 83,Software 78,Technology 76,Electronic device 74,Games 69,Multimedia 68,Logo 64,Display device 62,Pc game 61
long 16.9832400571429 lat 46.4578433714286 viewpoint 270 degrees.jpeg,Cloud 96,Sky 91,Plant 88,Asphalt 87,Street light 84,Screenshot 83,Graphics software 83,Tree 82,Font 80,Road surface 80
long 16.9832400571429 lat 46.4578433714286 viewpoint 90 degrees.jpeg,Cloud 96,Sky 91,Asphalt 87,Font 84,Screenshot 83,Software 79,Road surface 78,Technology 74,Games 73,Video game software 70
long 16.9832470714286 lat 46.4576907142857 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9832470714286 lat 46.4576907142857 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9832470714286 lat 46.4576907142857 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9832470714286 lat 46.4576907142857 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9832478 lat 46.4576352 viewpoint 0 degrees.jpeg,Building 90,Door 82,Font 78,Screenshot 78,Technology 74,Facade 72,Automotive design 66,Advertising 66,Signage 65,Asphalt 61
long 16.9832478 lat 46.4576352 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9832478 lat 46.4576352 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9832478 lat 46.4576352 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.98324845 lat 46.45782665 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Land lot 86,Screenshot 82,Tree 80,Grass 80,Software 78,Urban design 77,Electronic device 76
long 16.98324845 lat 46.45782665 viewpoint 180 degrees.jpeg,Font 84,Screenshot 83,Software 78,Technology 76,Electronic device 74,Games 69,Multimedia 68,Logo 64,Display device 62,Pc game 61
long 16.98324845 lat 46.45782665 viewpoint 270 degrees.jpeg,Cloud 96,Sky 91,Plant 88,Asphalt 87,Street light 84,Screenshot 83,Graphics software 83,Tree 82,Font 80,Road surface 80
long 16.98324845 lat 46.45782665 viewpoint 90 degrees.jpeg,Cloud 96,Sky 91,Asphalt 87,Font 84,Screenshot 83,Software 79,Road surface 78,Technology 74,Games 73,Video game software 70
long 16.9832596 lat 46.4575828 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9832596 lat 46.4575828 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9832596 lat 46.4575828 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9832596 lat 46.4575828 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9832681428571 lat 46.4575971428571 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9832681428571 lat 46.4575971428571 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9832681428571 lat 46.4575971428571 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9832681428571 lat 46.4575971428571 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.98328172 lat 46.45769128 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.98328172 lat 46.45769128 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.98328172 lat 46.45769128 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.98328172 lat 46.45769128 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9832892142857 lat 46.4575035714286 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9832892142857 lat 46.4575035714286 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9832892142857 lat 46.4575035714286 viewpoint 270 degrees.jpeg,Cloud 95,Sky 94,Plant 94,Product 91,Asphalt 89,Infrastructure 89,Tree 86,Mode of transport 85,Font 83,Line 82
long 16.9832892142857 lat 46.4575035714286 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9832908163265 lat 46.4577842857143 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Land lot 86,Screenshot 82,Tree 80,Grass 80,Software 78,Urban design 77,Electronic device 76
long 16.9832908163265 lat 46.4577842857143 viewpoint 180 degrees.jpeg,Font 84,Screenshot 83,Software 78,Technology 76,Electronic device 74,Games 69,Multimedia 68,Logo 64,Display device 62,Pc game 61
long 16.9832908163265 lat 46.4577842857143 viewpoint 270 degrees.jpeg,Cloud 97,Sky 91,Plant 88,Asphalt 87,Street light 84,Screenshot 83,Tree 83,Graphics software 82,Font 81,Road surface 80
long 16.9832908163265 lat 46.4577842857143 viewpoint 90 degrees.jpeg,Cloud 96,Sky 91,Asphalt 87,Font 84,Screenshot 83,Software 79,Road surface 78,Technology 74,Games 73,Video game software 70
long 16.9833026 lat 46.4576094 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9833026 lat 46.4576094 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833026 lat 46.4576094 viewpoint 270 degrees.jpeg,Cloud 95,Sky 94,Plant 94,Product 91,Asphalt 89,Infrastructure 89,Tree 86,Mode of transport 85,Font 83,Line 82
long 16.9833026 lat 46.4576094 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.98330384 lat 46.45779976 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Land lot 86,Screenshot 82,Tree 80,Grass 80,Software 78,Urban design 77,Electronic device 76
long 16.98330384 lat 46.45779976 viewpoint 180 degrees.jpeg,Font 84,Screenshot 83,Software 78,Technology 76,Electronic device 74,Games 69,Multimedia 68,Logo 64,Display device 62,Pc game 61
long 16.98330384 lat 46.45779976 viewpoint 270 degrees.jpeg,Cloud 96,Sky 91,Plant 88,Asphalt 87,Street light 84,Screenshot 83,Graphics software 83,Tree 82,Font 80,Road surface 80
long 16.98330384 lat 46.45779976 viewpoint 90 degrees.jpeg,Cloud 96,Sky 91,Asphalt 87,Font 84,Screenshot 83,Software 79,Road surface 78,Technology 74,Games 73,Video game software 70
long 16.9833042666667 lat 46.4574940888889 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9833042666667 lat 46.4574940888889 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833042666667 lat 46.4574940888889 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9833042666667 lat 46.4574940888889 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9833047 lat 46.4574913 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9833047 lat 46.4574913 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833047 lat 46.4574913 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
long 16.9833047 lat 46.4574913 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9833069 lat 46.4574573 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9833069 lat 46.4574573 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833069 lat 46.4574573 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9833072380952 lat 46.4577593333333 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 94,Land lot 86,Screenshot 82,Tree 80,Grass 80,Software 78,Urban design 77,Electronic device 76
long 16.9833072380952 lat 46.4577593333333 viewpoint 180 degrees.jpeg,Font 84,Screenshot 83,Software 78,Technology 76,Electronic device 74,Games 70,Multimedia 68,Logo 64,Pc game 60,Display device 59
long 16.9833072380952 lat 46.4577593333333 viewpoint 270 degrees.jpeg,Cloud 96,Sky 91,Plant 88,Asphalt 87,Street light 84,Screenshot 83,Graphics software 83,Tree 82,Font 80,Road surface 80
long 16.9833072380952 lat 46.4577593333333 viewpoint 90 degrees.jpeg,Cloud 96,Sky 91,Asphalt 87,Font 84,Screenshot 83,Software 79,Road surface 78,Technology 74,Games 73,Video game software 70
long 16.9833084571429 lat 46.4576196 viewpoint 0 degrees.jpeg,Building 84,Door 81,Font 79,Screenshot 78,Technology 76,Facade 74,Design 68,Advertising 67,Automotive design 66,Signage 65
long 16.9833084571429 lat 46.4576196 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833084571429 lat 46.4576196 viewpoint 270 degrees.jpeg,Cloud 95,Sky 94,Plant 94,Product 91,Asphalt 89,Infrastructure 89,Tree 86,Mode of transport 85,Font 83,Line 82
long 16.9833084571429 lat 46.4576196 viewpoint 90 degrees.jpeg,Cloud 97,Sky 93,Car 90,Infrastructure 90,Asphalt 89,Road surface 88,Vehicle 86,Mode of transport 85,Motor vehicle 85,Urban design 84
long 16.9833102857143 lat 46.45741 viewpoint 0 degrees.jpeg,Building 84,Door 79,Font 78,Screenshot 78,Technology 75,Facade 74,Design 68,Advertising 68,Signage 65,Window 64
long 16.9833102857143 lat 46.45741 viewpoint 180 degrees.jpeg,Cloud 98,Sky 96,Car 95,Wheel 92,Infrastructure 90,Asphalt 89,Plant 89,Tree 89,Tire 88,Road surface 87
long 16.9833102857143 lat 46.45741 viewpoint 270 degrees.jpeg,Cloud 95,Plant 94,Sky 94,Light 91,Product 91,Asphalt 89,Infrastructure 89,Tree 85,Mode of transport 85,Font 83
